iter	Passed	Remaining
789	57879	52018
790	57942	51936
791	58019	51865
792	58077	51778
793	58140	51696
794	58226	51634
795	58299	51561
796	58369	51485
797	58436	51406
798	58506	51330
799	58571	51250
800	58631	51165
801	58699	51087
802	58784	51024
803	58863	50956
804	58945	50890
805	59022	50820
806	59095	50747
807	59164	50670
808	59236	50596
809	59300	50515
810	59367	50436
811	59435	50358
812	59500	50278
813	59561	50195
814	59624	50114
815	59694	50038
816	59756	49955
817	59989	50015
818	60071	49949
819	60139	49871
820	60201	49788
821	60276	49717
822	60336	49632
823	60395	49547
824	60464	49470
825	60529	49390
826	60606	49320
827	60678	49246
828	60755	49176
829	60839	49111
830	60924	49047
831	61069	49031
832	61366	49137
833	61661	49240
834	61734	49165
835	61804	49088
836	61873	49011
837	61946	48935
838	62028	48868
839	62101	48794
840	62168	48714
841	62229	48630
842	62292	48548
843	62374	48480
844	62451	48409
845	62524	48334
846	62583	48249
847	62661	48178
848	62742	48109
849	62810	48031
850	62885	47958
851	62960	47885
852	63031	47809
853	63217	47820
854	63294	47748
855	63372	47677
856	63446	47603
857	63525	47532
858	63593	47454
859	63658	47373
860	63722	47291
861	63802	47222
862	63878	47150
863	63946	47071
864	64014	46993
865	64084	46916
866	64147	46834
867	64253	46783
868	64370	46740
869	64453	46672
870	64525	46597
871	64602	46525
872	64678	46452
873	64745	46373
874	64819	46299
875	64884	46219
876	64951	46139
877	65019	46061
878	65086	45982
879	65155	45904
880	65245	45842
881	65322	45770
882	65392	45693
883	65463	45617
884	65533	45540
885	65598	45459
886	65672	45385
887	65746	45311
888	65811	45231
889	65894	45163
890	65963	45085
891	66030	45007
892	66110	44937
893	66177	44858
894	66245	44780
895	66355	44731
896	66418	44648
897	66483	44569
898	66549	44489
899	66616	44411
900	66694	44339
901	66775	44270
902	66836	44187
903	66902	44108
904	66973	44032
905	67034	43950
906	67101	43871
907	67170	43794
908	67233	43712
909	67363	43675
910	67479	43628
911	67544	43548
912	67618	43474
913	67684	43395
914	67757	43320
915	67819	43238
916	67897	43167
917	67969	43091
918	68032	43010
919	68087	42925
920	68154	42846
921	68221	42767
922	68286	42688
923	68351	42608
924	68451	42550
925	68531	42480
926	68593	42398
927	68654	42317
928	68727	42242
929	68787	42159
930	68851	42080
931	68917	42001
932	68982	41921
933	69043	41839
934	69105	41758
935	69172	41680
936	69238	41602
937	69310	41527
938	69380	41451
939	69456	41378
940	69575	41331
941	69653	41259
942	69723	41183
943	69789	41105
944	69853	41024
945	69929	40952
946	69994	40873
947	70061	40795
948	70125	40715
949	70193	40638
950	70259	40560
951	70320	40478
952	70387	40400
953	70464	40328
954	70617	40300
955	70690	40225
956	70766	40152
957	70830	40073
958	70894	39993
959	70968	39919
960	71031	39839
961	71129	39779
962	71210	39709
963	71322	39656
964	71417	39594
965	71483	39515
966	71554	39440
967	71644	39375
968	71729	39306
969	71798	39229
970	71862	39150
971	71928	39072
972	71995	38994
973	72057	38914
974	72127	38837
975	72189	38757
976	72256	38679
977	72320	38600
978	72388	38523
979	72452	38444
980	72521	38367
981	72582	38286
982	72656	38213
983	72764	38156
984	72970	38152
985	73071	38091
986	73163	38026
987	73252	37960
988	73344	37895
989	73548	37888
990	73716	37862
991	73848	37817
992	73921	37742
993	73991	37665
994	74062	37589
995	74148	37521
996	74242	37456
997	74319	37382
998	74391	37307
999	74479	37239
1000	74569	37172
1001	74647	37100
1002	74724	37026
1003	74874	36990
1004	74956	36918
1005	75020	36839
1006	75092	36763
1007	75169	36689
1008	75229	36607
1009	75308	36535
1010	75405	36472
1011	75503	36408
1012	75644	36365
1013	75729	36296
1014	75955	36294
1015	76058	36232
1016	76125	36154
1017	76190	36074
1018	76258	35996
1019	76330	35920
1020	76386	35836
1021	76459	35760
1022	76525	35681
1023	76619	35616
1024	76685	35537
1025	76751	35458
1026	76817	35379
1027	76881	35299
1028	76955	35224
1029	77063	35164
1030	77124	35083
1031	77183	35001
1032	77251	34924
1033	77318	34845
1034	77374	34762
1035	77453	34689
1036	77509	34606
1037	77574	34527
1038	77636	34446
1039	77702	34368
1040	77768	34289
1041	77830	34209
1042	77893	34129
1043	77971	34056
1044	78053	33985
1045	78126	33909
1046	78186	33828
1047	78254	33750
1048	78317	33671
1049	78386	33594
1050	78464	33521
1051	78531	33443
1052	78596	33364
1053	78656	33283
1054	78720	33204
1055	78787	33126
1056	78847	33045
1057	78925	32972
1058	78990	32894
1059	79054	32814
1060	79230	32782
1061	79285	32699
1062	79347	32619
1063	79411	32540
1064	79473	32460
1065	79538	32382
1066	79603	32303
1067	79667	32224
1068	79741	32150
1069	79801	32069
1070	79863	31990
1071	79926	31910
1072	79995	31834
1073	80055	31753
1074	80112	31672
1075	80196	31601
1076	80278	31530
1077	80334	31448
1078	80395	31368
1079	80461	31290
1080	80531	31214
1081	80596	31136
1082	80659	31057
1083	80720	30977
1084	80787	30900
1085	80856	30823
1086	80920	30745
1087	80990	30669
1088	81065	30594
1089	81128	30516
1090	81188	30436
1091	81293	30373
1092	81360	30296
1093	81425	30218
1094	81487	30139
1095	81560	30064
1096	81622	29985
1097	81689	29908
1098	81751	29829
1099	81818	29752
1100	81884	29674
1101	81943	29594
1102	82009	29517
1103	82074	29439
1104	82137	29361
1105	82207	29285
1106	82346	29234
1107	82515	29193
1108	82598	29121
1109	82677	29048
1110	82760	28977
1111	82838	28903
1112	82902	28826
1113	82969	28748
1114	83050	28676
1115	83118	28599
1116	83185	28522
1117	83259	28448
1118	83326	28371
1119	83396	28295
1120	83501	28231
1121	83574	28156
1122	83719	28105
1123	83800	28032
1124	83886	27962
1125	83954	27885
1126	84021	27808
1127	84076	27727
1128	84145	27651
1129	84223	27577
1130	84284	27498
1131	84352	27422
1132	84421	27345
1133	84510	27275
1134	84595	27204
1135	84676	27132
1136	84746	27056
1137	84825	26983
1138	84890	26905
1139	84954	26827
1140	85033	26754
1141	85101	26678
1142	85172	26602
1143	85243	26526
1144	85303	26447
1145	85372	26371
1146	85454	26299
1147	85603	26247
1148	85709	26182
1149	85780	26106
1150	85848	26030
1151	85918	25954
1152	85984	25877
1153	86047	25799
1154	86118	25723
1155	86186	25647
1156	86250	25569
1157	86310	25490
1158	86384	25415
1159	86448	25338
1160	86513	25261
1161	86577	25183
1162	86669	25113
1163	86746	25040
1164	86818	24965
1165	86888	24889
1166	86970	24816
1167	87041	24741
1168	87106	24663
1169	87183	24590
1170	87270	24519
1171	87347	24445
1172	87417	24369
1173	87492	24295
1174	87564	24220
1175	87644	24147
1176	87741	24078
1177	87812	24003
1178	87913	23935
1179	87996	23863
1180	88076	23790
1181	88150	23715
1182	88227	23641
1183	88302	23567
1184	88381	23493
1185	88458	23419
1186	88538	23346
1187	88617	23273
1188	88687	23197
1189	88777	23126
1190	89077	23110
1191	89360	23089
1192	89460	23021
1193	89523	22943
1194	89597	22868
1195	89674	22793
1196	89746	22717
1197	89908	22664
1198	89990	22591
1199	90056	22514
1200	90123	22437
1201	90191	22360
1202	90255	22282
1203	90317	22204
1204	90385	22127
1205	90449	22049
1206	90519	21973
1207	90582	21895
1208	90660	21821
1209	90726	21744
1210	90793	21667
1211	90873	21593
1212	91015	21534
1213	91080	21457
1214	91152	21381
1215	91221	21305
1216	91285	21227
1217	91354	21151
1218	91418	21073
1219	91500	21000
1220	91571	20924
1221	91652	20850
1222	91726	20775
1223	91801	20700
1224	91873	20624
1225	91939	20547
1226	92134	20499
1227	92214	20425
1228	92278	20347
1229	92350	20272
1230	92425	20196
1231	92512	20124
1232	92654	20063
1233	92740	19991
1234	92816	19916
1235	92889	19840
1236	92976	19767
1237	93059	19694
1238	93158	19624
1239	93241	19550
1240	93310	19474
1241	93373	19396
1242	93442	19319
1243	93506	19242
1244	93582	19167
1245	93662	19093
1246	93741	19018
1247	93806	18941
1248	93877	18865
1249	93943	18788
1250	94016	18713
1251	94102	18640
1252	94197	18568
1253	94297	18498
1254	94371	18423
1255	94443	18347
1256	94507	18269
1257	94580	18194
1258	94642	18116
1259	94713	18040
1260	94803	17968
1261	94871	17891
1262	94953	17817
1263	95030	17743
1264	95099	17666
1265	95165	17589
1266	95322	17529
1267	95422	17458
1268	95493	17383
1269	95558	17305
1270	95626	17229
1271	95700	17153
1272	95766	17077
1273	95830	16999
1274	95906	16924
1275	95970	16847
1276	96034	16770
1277	96103	16694
1278	96168	16617
1279	96236	16540
1280	96307	16464
1281	96413	16394
1282	96479	16317
1283	96557	16243
1284	96625	16166
1285	96686	16089
1286	96760	16013
1287	96829	15937
1288	96892	15860
1289	96960	15784
1290	97021	15706
1291	97084	15629
1292	97161	15554
1293	97237	15479
1294	97310	15404
1295	97391	15330
1296	97478	15256
1297	97556	15182
1298	97635	15107
1299	97710	15032
1300	97779	14956
1301	97844	14879
1302	97920	14804
1303	97982	14727
1304	98044	14650
1305	98117	14574
1306	98192	14499
1307	98265	14424
1308	98343	14349
1309	98428	14275
1310	98509	14201
1311	98589	14127
1312	98665	14052
1313	98732	13975
1314	98801	13899
1315	98880	13825
1316	98950	13749
1317	99019	13673
1318	99101	13599
1319	99175	13523
1320	99245	13448
1321	99317	13372
1322	99390	13297
